_id,pkg_name,sha256,sha1,md5,dex_date,apk_size,vercode,vt_detection,vt_scan_date,dex_size,markets, 
62e8551818a3dddc6b396518,com.lenovo.anyshare.cloneit,6B5A77771866E7DDE070F787B227511C74305FDD950BEC2577CED353D5AAC654,B3666CF242BDA764C89D2B2D68C35D07CBA00AC1,8DA26C64F6987A0A077DB40C6E630E63,Wed Jun 30 2021 19:37:38 GMT+0200 (Central European Summer Time),7262001,4020300,0,2021-07-31 13:55:28,8267940,play.google.com,
62e8547618a3dddc6b1924ea,com.chartcross.gpstest,505883B047C647F115D02674DB248A598ACD53B47A11CEC5DA9EA1BC8A047E00,531A9AB1F1556A390425ADF2F5D28F372A6C8F84,61FE191D65510FA72FD9E65E4F570733,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),2998649,57,0,2020-09-05 10:32:39,2375016,play.google.com,
62e8578b18a3dddc6baff060,vpn.fastvpn.freevpn,CEB3DE2B5264892C91840DF0FC2ED3BC01512FE2AF342CB9CF4CD800CD3686DA,8E2C537E88BE61D1ECC8143819616BC8992964EB,E98AF8DB09DC2646E9EF4A06C82BE59E,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),19746538,203030,0,2021-07-09 07:11:04,9239548,play.google.com,
62e8576618a3dddc6ba8351e,com.koushikdutta.rommanager,C8383048A6AD75D7391CA0F4846812DB70512C469FBA6C4463C97D96B3B685F8,F2B697940FD4BBBA6D19E5CBAAA23A44C529F9E1,CA4863DA56AFC3044B365913F051B77D,Fri Feb 29 2008 10:33:46 GMT+0100 (Central European Standard Time),3779732,5537,2,2021-07-06 09:54:47,1837352,VirusShare,
62e8543918a3dddc6b0cd695,unlimited.securevpn.freevpn,460B81F3E0822216EE8B56D885FFF2E39ED3E091A73946A6A6CD4F8ED6465B55,F40887D390A697ADAF18EF01812B542395A3A50F,3EC39FEAFE7B9A068BD5EDF70EF18522,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),47737065,104030,0,2021-06-23 12:57:57,8847376,play.google.com,
62e8558118a3dddc6b4e73e3,get.instagram.followers.unfollowers,7CF710B4C4F8031C0E4261BAC470159CAA1A3BF2F6D586EA1826DDC84DF575EE,563DE9B34713FBB46925AF9BFBC871AC7DABBE16,B9CF5D13887E3B2818A7756F9E69E413,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),7045769,9,0,2019-03-04 04:21:22,7396260,play.google.com,
62e8553018a3dddc6b3e29ed,com.buak.Link2SD,6F5ABF1141234184EF0093A03248F8451C19A0A8BB62BBB28497B5EB567187AB,0a09ef45ef2c2245ed7b5567af7f1574295666d4,a07d50c4496f7061bc7a1f243f2dd098,Sun Sep 02 2012 08:43:54 GMT+0200 (Central European Summer Time),710014,99,0,2014-05-05 12:58:38,174080,angeeks,
62e857c318a3dddc6bbb7341,com.skydot.docxreader.docx.docxviewer.document.doc.office.viewer.reader.word,D856EA256C49822998887D5EF218FA62F09B511A8C8D80B2F323FC7FE5D9C2E0,B97B050F162C43C804E915C08E2DADC5B9799629,FD7DD733F550977B9D00778643F27483,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),3342433,8,0,2020-12-08 08:27:06,7462268,play.google.com,
62e855c418a3dddc6b5b6d1a,com.anonytun.android,87D3E5F4746756F8BFE657651ED827B8CAA8D8BF1481552D468FEF637E340740,D49B03EC46291B1593C6EDA5ACA3706CB193A8E8,7D1E11C484A2BB34215E7B266BCFA091,Sat Mar 14 2020 22:05:44 GMT+0100 (Central European Standard Time),3769676,99,0,2020-06-16 10:41:51,43028,play.google.com,
62e8537318a3dddc6be56670,org.joa.zipperplus7,25112E2230B3AA6A24E9878BC844BF8377644FA14385C421F91A752DD77F5938,CFC78D07CF8AE4E7288B0A95D218827769FA009A,AB88FBD7BD57561A33A877B31B09FFE3,Mon Oct 27 2014 21:26:24 GMT+0100 (Central European Standard Time),8527742,96,0,2016-08-06 22:04:21,5447736,play.google.com|PlayDrone,
